constraint_id,source_candidate_id,constraint_item_type,scope,disposition,edge_count,review_status
MFC-000001,1,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000002,2,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000003,3,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000004,4,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000005,5,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000006,6,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000007,7,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000008,8,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000009,9,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000010,10,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000011,11,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000012,12,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000013,13,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000014,14,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000015,15,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000016,16,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000017,17,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000018,18,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000019,19,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000020,20,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000021,21,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000022,22,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000023,23,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000024,24,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000025,25,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000026,26,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000027,27,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000028,28,COMPARISON,CROSS_TABLE,INCLUDED,3,CLOSED
MFC-000029,29,COMPARISON,INTRA_TABLE,INCLUDED,1,CLOSED
MFC-000030,30,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000031,31,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000032,32,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000033,33,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000034,34,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000035,35,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000036,36,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000037,37,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000038,38,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000039,39,COMPARISON,CROSS_TABLE,INCLUDED,3,CLOSED
MFC-000040,40,COMPARISON,INTRA_TABLE,INCLUDED,1,CLOSED
MFC-000041,41,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000042,42,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000043,43,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000044,44,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000045,45,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000046,46,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000047,47,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000048,48,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000049,49,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000050,50,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000051,51,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000052,52,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000053,53,COMPARISON,INTRA_TABLE,INCLUDED,1,CLOSED
MFC-000054,54,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000055,55,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000056,56,COMPARISON,INTRA_TABLE,INCLUDED,1,CLOSED
MFC-000057,57,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000058,58,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000059,59,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000060,60,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000061,61,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000062,62,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000063,63,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000064,64,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000065,65,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000066,66,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000067,67,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000068,68,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000069,69,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000070,70,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000071,71,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000072,72,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000073,73,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000074,74,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,4,CLOSED
MFC-000075,75,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000076,76,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000077,77,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000078,78,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000079,79,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000080,80,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000081,81,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000082,82,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000083,83,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000084,84,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000085,85,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000086,86,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000087,87,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000088,88,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000089,89,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000090,90,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000091,91,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000092,92,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000093,93,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000094,94,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000095,95,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000096,96,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000097,97,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000098,98,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000099,99,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000100,100,COMPARISON,INTRA_TABLE,INCLUDED,2,CLOSED
MFC-000101,101,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000102,102,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000103,103,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000104,104,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000105,105,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000106,106,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000107,107,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000108,108,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000109,109,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000110,110,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000111,111,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000112,112,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000113,113,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000114,114,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000115,115,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000116,116,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000117,117,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000118,118,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000119,119,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000120,120,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000121,121,COMPARISON,INTRA_TABLE,INCLUDED,2,CLOSED
MFC-000122,122,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000123,123,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000124,124,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000125,125,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000126,126,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000127,127,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000128,128,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000129,129,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000130,130,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000131,131,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000132,132,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000133,133,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000134,134,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000135,135,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000136,136,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000137,137,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000138,138,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000139,139,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,2,CLOSED
MFC-000140,140,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000141,141,COMPARISON,INTRA_TABLE,INCLUDED,2,CLOSED
MFC-000142,142,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000143,143,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000144,144,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000145,145,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
MFC-000146,146,REFERENCE_EXISTENCE,CROSS_TABLE,INCLUDED,1,CLOSED
